,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
369,3Yn97I3qIj7Px0Bi4rkD2q,Evermore,Dan Stevens,0.674,0.219,0.285,2
372,0Rg6hoXD1wBiOFZ4pmzoWh,How Does A Moment Last Forever,Céline Dion,0.878,0.342,0.363,2
381,4fxHK6mhA9vli9NjpBSbGi,Isang Araw,Kaye Cal,0.613,0.21,0.466,2
386,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,0.164,0.124,0.209,2
389,6f49kbOuQSOsStBpyGvQfA,A Head Full of Dreams,Coldplay,0.0021,0.0772,0.449,2
392,31L9yLXSj6LpCFupyMV6CR,Up&Up,Coldplay,0.0488,0.253,0.479,2
393,7wBrglFVTNCcW6IhdgBkm1,Paradise,Coldplay,0.0509,0.212,0.449,2
395,6lpWMtQoGqQyEZuyIwhbkO,Every Teardrop Is a Waterfall,Coldplay,0.00194,0.333,0.425,2
400,2WXTF0qgKbczC2O8VymeLO,"A Sky Full of Stars - Live at the Royal Albert Hall, London",Coldplay,0.00416,0.186,0.467,2
401,0x5CxIxVZUxwOQbwiVLS6J,Charlie Brown,Coldplay,0.0212,0.0948,0.43,2
402,33koOQs551ijjVmLbmrcDc,Yellow - Live from Spotify London,Coldplay,0.447,0.119,0.223,2
403,2nvC4i2aMo4CzRjRflysah,In My Place,Coldplay,0.0553,0.193,0.424,2
406,0FMjqbY3aWo1QDbo3GwXib,Always in My Head,Coldplay,0.0127,0.0394,0.495,2
408,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,0.0275,0.222,0.516,2
418,6GeD5g9vZTz25Egf8kxoIY,Last Day Alive,The Chainsmokers,0.0571,0.24,0.435,2
438,4ub59HeXqdYApJtkJqnvXE,I'll Never Go,Erik Santos,0.723,0.28,0.454,2
440,5LYQSNHZxEA880URXFHg6h,Lust for Life (with The Weeknd),Lana Del Rey,0.588,0.295,0.499,2
441,6mORGLOz79w6VsCRLWYYuK,The Night We Met,Lord Huron,0.969,0.0989,0.443,2
456,13sXuI5RjMHm7dz7O3spYs,Sweet Creature,Harry Styles,0.746,0.228,0.427,2
463,4Q5yMlwAfAoitqg4r9oZHN,Quit (feat. Ariana Grande),Cashmere Cat,0.103,0.125,0.365,2
469,5LABCxgmP7DATATIJXOh6n,Ever Since New York,Harry Styles,0.2,0.383,0.389,2
484,6Pw3Gvw4wNMZfTYZa6IQal,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,0.00282,0.36,0.466,2
530,4gDyoe1FImDlXVt58ssnMf,All I Can Think About Is You,Coldplay,0.155,0.424,0.348,2
535,7IqUmDJ2GjaOqrzDCXhrV5,Ipagpatawad Mo,Mayonnaise,0.0621,0.457,0.291,2
