,track_id,track_name,artist_name,instrumentalness,liveness,loudness,kmeans
413,6KjbNLbRjuoa8rEq5yNA6H,Honest,The Chainsmokers,8.5e-05,0.385,-10.772,1
424,1n4jwRVXdkK2U34nBDUKKT,BLOOD.,Kendrick Lamar,0.0859,0.55,-16.78,1
440,5LYQSNHZxEA880URXFHg6h,Lust for Life (with The Weeknd),Lana Del Rey,0.00484,0.358,-8.618,1
441,6mORGLOz79w6VsCRLWYYuK,The Night We Met,Lord Huron,0.277,0.638,-9.514,1
443,3dWOuReL6DhczDfhsYXxat,Plot Twist,Sigrid,0.228,0.283,-5.988,1
461,1giyYwEQ70ticu30keWpZ4,The Breakup,LANY,0.0601,0.293,-5.361,1
474,4u9Y4Z9i9VaAbBK7rW1Rha,Meet Me in the Hallway,Harry Styles,0.00025,0.356,-6.528,1
478,5q5gzmbBS5yQzos2BvVr1t,Nights With You,MØ,1.16e-05,0.375,-4.029,1
484,6Pw3Gvw4wNMZfTYZa6IQal,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,0.0,0.273,-6.077,1
487,5153LWKMJiMNIRCChGN4Ja,Hands,Mike Perry,0.0,0.348,-5.057,1
492,5xYVqJ7ppf4bTbbztvVOYx,Raincoat (feat. Shy Martin),Timeflies,0.0,0.264,-5.513,1
510,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,0.0,0.334,-5.384,1
513,10nqz67NQWWa7XPq7ycihi,Welcome To New York,Taylor Swift,1.76e-06,0.304,-4.807,1
514,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,1.19e-05,0.341,-6.937,1
518,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,0.0,0.334,-4.663,1
522,4NAmRvqSITAAzKWnC8yRq3,Everything Has Changed,Taylor Swift,3.89e-06,0.303,-6.755,1
525,3PEgB3fkiojxms35ntsTgs,More Than You Know,Axwell /\ Ingrosso,0.0,0.257,-5.002,1
526,2B2h0JOv0X2lH2CvtciZI6,Fade Away (feat. Inna),Sam Feldt,0.0,0.307,-3.201,1
538,54h8xHewdRPnYzmbEHBhOO,I’ll Make It Up To You,Imagine Dragons,0.0219,0.38,-7.475,1
541,4vv1KjUzPwrtDbozizSfQc,Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled,0.0,0.432,-3.98,1
556,2EGpIoqoqqJLE0MoowpxhS,On Top,James Reid,0.0,0.499,-5.852,1
569,6FemVsNUb2lzWsDRm14FUJ,Rain,The Script,0.0,0.368,-7.638,1
570,7aF09WaavZAmAWuUeYxlYD,Rich Love (with Seeb),OneRepublic,0.0,0.365,-3.573,1
575,2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,0.0,0.639,-4.153,1
577,1yFiaFeSLpw4nDYTeErRZ6,Leave Out All The Rest,Linkin Park,2.24e-06,0.389,-6.418,1
578,1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Linkin Park,0.0,0.623,-3.994,1
581,57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,3.2e-06,0.536,-5.565,1
583,650OeHTLxZAQmb4aEbGmaA,Good Goodbye (feat. Pusha T and Stormzy),Linkin Park,0.0,0.748,-4.602,1
584,3agtg0x11wPvLIWkYR39nZ,Somewhere I Belong,Linkin Park,2.39e-06,0.261,-3.754,1
586,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,0.0,0.394,-4.918,1
587,5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z,0.0,0.582,-4.254,1
590,3qmvK8QARSPkFTuKeIXSbs,Bleed It Out,Linkin Park,0.0,0.613,-4.896,1
597,5JHNg1hxZFT7TDEphhM4wj,Waiting for the End,Linkin Park,1.15e-06,0.553,-4.139,1
599,5rAxhWcgFng3s570sGO2F8,A Place for My Head,Linkin Park,0.0,0.671,-5.254,1
603,6xtQ23d8GEXgcxyUKPtwc5,Runaway,Linkin Park,0.0,0.253,-4.743,1
604,1KvyBpAxgllKW7bQb0GYCR,Halfway Right,Linkin Park,0.0,0.349,-7.155,1
615,5vqpqBAB8L9NyhLZo0ZKie,current location,LANY,0.00272,0.35,-7.084,1
620,4Q3d0fDDg6l9sqlAMVumgJ,Dumb Stuff,LANY,0.0322,0.317,-7.189,1
625,57p8CBvPOxrvyCbn6ttl5r,Would You Ever,Skrillex,0.0,0.318,-3.36,1
