track_name,artist_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,0.374,0.125,7.0,-14.847,0.0383,0.852,4.66e-06,0.321,0.108,114.694
That's What I Like,Bruno Mars,0.853,0.56,1.0,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
Roses (feat. ROZES),The Chainsmokers,0.716,0.806,4.0,-7.602,0.0466,0.0361,0.00413,0.244,0.347,100.033
Nobody's Better (feat. Fetty Wap),Suzi,0.357,0.661,0.0,-7.259,0.106,0.0134,0.0,0.166,0.541,101.038
Secret Love Song (feat. Jason Derulo),Little Mix,0.539,0.643,9.0,-3.982,0.0479,0.256,0.0,0.29,0.136,92.962
Sigurado,Up Dharma Down,0.757,0.669,11.0,-8.813,0.0385,0.295,0.0271,0.111,0.963,113.01
The Mack,Nevada,0.707,0.883,0.0,-4.281,0.0602,0.0707,0.0,0.23,0.541,106.031
This Is What You Came For (feat. Rihanna),Calvin Harris,0.631,0.927,9.0,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.803,0.585,8.0,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
Stay - On the Wings of Love Teleserye Theme,Daryl Ong,0.562,0.281,7.0,-8.813,0.0296,0.841,0.0,0.112,0.306,91.961
I Would Like,Zara Larsson,0.486,0.713,2.0,-3.949,0.0524,0.0853,0.0,0.0839,0.297,121.028
Hear Me Now,Alok,0.788,0.43,11.0,-7.757,0.0419,0.537,0.00261,0.0936,0.461,121.996
Lot to Learn,Luke Christopher,0.422,0.852,6.0,-3.546,0.208,0.0845,0.0,0.0687,0.666,82.914
Paasa - T.A.N.G.A.,Yeng Constantino,0.74,0.604,0.0,-5.245,0.103,0.423,1.75e-06,0.243,0.323,140.065
Sidekick,Dawin,0.953,0.686,7.0,-4.404,0.0513,0.074,0.0,0.0578,0.722,128.006
Love Yourself,Justin Bieber,0.609,0.378,4.0,-9.828,0.438,0.835,0.0,0.28,0.515,100.418
Hanggang Kailan,Michael Pangilinan,0.404,0.174,9.0,-10.192,0.0312,0.893,0.0,0.0977,0.324,87.636
Caroline,Aminé,0.952,0.318,10.0,-10.357,0.467,0.174,0.0,0.205,0.665,120.077
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.663,0.713,7.0,-6.647,0.112,0.0353,7.68e-06,0.0843,0.69,101.965
7 Years,Lukas Graham,0.742,0.479,10.0,-5.83,0.0551,0.29,0.0,0.391,0.346,119.951
Wake Up Where You Are,State of Sound,0.706,0.674,9.0,-6.977,0.0337,0.11,0.000626,0.0784,0.545,113.956
Love Me Now,John Legend,0.495,0.762,8.0,-3.842,0.0862,0.591,0.0,0.0763,0.708,123.893
Cheap Thrills,Sia,0.628,0.698,6.0,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976
Your Love - Dolce Amore Teleserye Theme,Juris,0.52,0.309,2.0,-12.039,0.0534,0.597,0.0,0.102,0.177,150.098
One Call Away,Charlie Puth,0.667,0.613,1.0,-5.353,0.0344,0.403,0.0,0.115,0.47,91.024
Toothbrush,DNCE,0.557,0.791,7.0,-5.771,0.138,0.12,0.0,0.397,0.85,104.908
To Love Again,Daryl Ong,0.299,0.36,9.0,-6.235,0.0287,0.806,0.0,0.114,0.19,140.102
Sa'yo,Silent Sanctuary,0.567,0.0896,5.0,-12.944,0.0343,0.796,0.0,0.218,0.367,79.002
Migraine,Moonstar88,0.662,0.546,2.0,-5.868,0.0288,0.204,2.82e-06,0.12,0.196,115.053
Send My Love (To Your New Lover),Adele,0.69,0.524,6.0,-8.39,0.103,0.0415,3.16e-06,0.17,0.562,164.023
We Can't Be,Krissy,0.516,0.31,4.0,-12.113,0.0279,0.565,0.0,0.113,0.33,128.862
Final Song,MØ,0.695,0.672,1.0,-6.109,0.0345,0.014,7.95e-05,0.0756,0.245,104.988
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,0.63,0.53,0.0,-7.259,0.0434,0.4,0.0,0.177,0.417,108.038
Shed a Light,Robin Schulz,0.483,0.787,8.0,-5.244,0.102,0.112,0.0,0.257,0.58,122.058
The Scientist,Coldplay,0.557,0.442,5.0,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277
Lush Life,Zara Larsson,0.694,0.712,7.0,-3.923,0.046,0.132,0.0,0.211,0.799,98.023
Faded,Alan Walker,0.589,0.651,6.0,-5.097,0.0306,0.0291,3.2e-06,0.111,0.166,90.011
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,0.886,0.525,8.0,-7.39,0.131,0.236,0.0,0.057,0.708,145.99
Into You,Ariana Grande,0.636,0.727,9.0,-5.852,0.106,0.0161,1.12e-06,0.151,0.358,107.988
Heathens,Twenty One Pilots,0.732,0.396,4.0,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
The Greatest (feat. Kendrick Lamar),Sia,0.668,0.725,1.0,-6.127,0.266,0.0102,0.000479,0.0561,0.729,191.944
"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,0.389,0.273,6.0,-7.697,0.0362,0.705,0.0,0.117,0.176,134.124
Chunky,Bruno Mars,0.571,0.539,5.0,-4.446,0.116,0.0208,0.0,0.125,0.727,202.103
Sorry,Justin Bieber,0.654,0.76,0.0,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945
My Way,Calvin Harris,0.818,0.913,4.0,-3.06,0.0426,0.093,3.69e-05,0.161,0.536,119.986
Cake By The Ocean,DNCE,0.774,0.764,4.0,-5.445,0.0518,0.156,0.0,0.0383,0.912,118.997
Someday,Nina,0.556,0.212,6.0,-11.197,0.0406,0.941,0.0,0.0982,0.514,133.392
Fast Car,Jonas Blue,0.459,0.587,9.0,-6.983,0.0785,0.453,0.0,0.307,0.581,113.901
Hiling,Mark Carpio,0.58,0.244,4.0,-9.917,0.0361,0.808,0.0,0.092,0.385,82.121
Tell Me Where It Hurts,MYMP,0.726,0.542,7.0,-7.952,0.042,0.702,0.0,0.0962,0.396,89.583
Now and Later,Sage The Gemini,0.781,0.57,11.0,-5.874,0.188,0.273,0.0,0.196,0.858,107.059
Hide Away,Daya,0.886,0.818,11.0,-3.649,0.0843,0.218,3.46e-06,0.0687,0.469,95.05
Sunset Lover,Petit Biscuit,0.783,0.467,6.0,-9.474,0.0503,0.729,0.809,0.109,0.236,90.838
Rainbow,South Border,0.66,0.224,5.0,-13.426,0.0307,0.425,2.02e-06,0.101,0.382,88.011
Hanap-Hanap,James Reid,0.714,0.695,9.0,-4.614,0.0396,0.424,0.0,0.306,0.669,94.99
Prinsesa,6cyclemind,0.853,0.455,1.0,-9.589,0.0372,0.305,0.00329,0.125,0.522,118.32
Work,Rihanna,0.725,0.534,11.0,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974
Weak,AJR,0.673,0.637,5.0,-4.518,0.0429,0.137,0.0,0.184,0.678,123.98
I'm Not The Only One,Sam Smith,0.453,0.496,5.0,-5.785,0.0453,0.554,2.65e-05,0.0772,0.501,80.994
Marvin Gaye (feat. Wale) - Remix,Charlie Puth,0.808,0.633,1.0,-5.298,0.0883,0.456,0.0,0.329,0.769,109.974
Let Me Be the One,Julie Anne San Jose,0.587,0.396,10.0,-8.722,0.0399,0.643,0.0,0.106,0.207,123.873
So Sick,Ne-Yo,0.452,0.574,6.0,-8.336,0.31,0.246,0.0,0.189,0.58,92.791
Collide - Acoustic Version,Howie Day,0.582,0.253,10.0,-11.43,0.0259,0.827,2.95e-05,0.091,0.294,90.186
Paano Ba Ang Magmahal,Piolo Pascual,0.544,0.583,0.0,-6.446,0.0314,0.509,0.0,0.0436,0.157,144.052
Before I Let You Go,Freestyle,0.66,0.353,4.0,-12.108,0.0347,0.169,0.0,0.138,0.0812,120.084
Stitches,Shawn Mendes,0.746,0.754,1.0,-6.681,0.067,0.0152,0.0,0.0486,0.764,149.882
This Town,Niall Horan,0.687,0.409,9.0,-7.751,0.0311,0.71,0.0,0.126,0.16,111.861
True,Ryan Cabrera,0.598,0.4,6.0,-10.054,0.0241,0.459,0.0,0.151,0.369,96.938
Beautiful Soul,Jesse McCartney,0.66,0.666,9.0,-4.342,0.0472,0.0759,0.0,0.0268,0.933,89.975
PILLOWTALK,ZAYN,0.584,0.7,11.0,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944
Ride,Twenty One Pilots,0.645,0.713,6.0,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989
History,One Direction,0.655,0.699,11.0,-4.421,0.0493,0.0352,0.0,0.064,0.802,86.704
Dancing On My Own,Calum Scott,0.608,0.174,1.0,-8.796,0.0332,0.851,1.92e-05,0.0855,0.193,112.175
Chantaje (feat. Maluma),Shakira,0.852,0.773,8.0,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034
Lighthouse - Andrelli Remix,Hearts & Colors,0.595,0.662,11.0,-6.858,0.0362,0.0178,0.0,0.0804,0.417,96.053
So Slow,Freestyle,0.727,0.329,0.0,-9.09,0.0347,0.52,0.0,0.0899,0.401,106.202
Iris,The Goo Goo Dolls,0.315,0.715,11.0,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
Light,San Holo,0.57,0.763,1.0,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088
I Got You,Bebe Rexha,0.609,0.887,9.0,-4.749,0.0507,0.0504,4.76e-06,0.09,0.316,97.99
With a Smile (feat. Kelly Badon),South Border,0.523,0.534,6.0,-8.942,0.0296,0.479,3.01e-05,0.111,0.508,75.988
Straight up & Down,Bruno Mars,0.552,0.733,3.0,-6.898,0.0933,0.0209,0.0,0.0858,0.643,143.56
Meron Nang Iba,Silent Sanctuary,0.69,0.526,9.0,-9.939,0.0319,0.261,0.000233,0.113,0.608,116.076
Breakeven,The Script,0.627,0.699,10.0,-4.504,0.0244,0.174,0.0,0.0789,0.535,94.003
The Man Who Can't Be Moved,The Script,0.608,0.629,10.0,-5.024,0.0264,0.423,0.0,0.0978,0.325,99.953
Ignition - Remix,R. Kelly,0.795,0.523,1.0,-7.165,0.0423,0.061,0.0,0.0914,0.855,133.024
Terrified,Katharine McPhee,0.523,0.728,3.0,-3.86,0.0374,0.202,0.0,0.113,0.206,116.464
Too Good to Say Goodbye,Bruno Mars,0.587,0.63,2.0,-6.054,0.0311,0.0389,0.0,0.35,0.433,76.97
Water Under the Bridge,Adele,0.596,0.838,5.0,-6.52,0.0704,0.0189,1.54e-05,0.108,0.472,94.982
Make Me (Cry),Noah Cyrus,0.588,0.471,0.0,-7.287,0.0577,0.592,0.00146,0.0733,0.209,152.881
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665,11.0,-5.313,0.244,0.061,0.0,0.123,0.175,127.076
Sexual,NEIKED,0.803,0.569,2.0,-7.392,0.0739,0.0623,0.0,0.083,0.809,107.986
More Than Words,Extreme,0.626,0.134,6.0,-14.898,0.0298,0.467,0.0,0.113,0.239,91.893
